Gene start (bp),Gene end (bp),Gene name,Transcript start (bp),Transcript end (bp)
34919203,34922440,Gm29225,34919203,34922440
34919203,34922440,Gm29225,34919623,34921987
34919203,34922440,Gm29225,34919623,34921987
71791138,71791833,Gm28483,71791138,71791833
34954443,34957786,Gm29226,34954443,34957786
71828169,71828480,Gm28484,71828169,71828480
34959198,34959512,Gm29227,34959198,34959512
71975876,71976328,Gm28480,71975876,71976328
34995732,34996427,Gm28339,34995732,34996427
72050266,72050961,Gm20842,72050266,72050961
35061029,35087178,Gm20855,35061029,35087178
35061029,35087178,Gm20855,35063786,35085749
72071411,72082081,Gm29179,72071411,72082081
72071411,72082081,Gm29179,72071981,72082081
72071411,72082081,Gm29179,72077798,72081993
72071411,72082081,Gm29179,72077800,72081999
72071411,72082081,Gm29179,72077823,72080061
72071411,72082081,Gm29179,72077823,72082024
72071411,72082081,Gm29179,72077826,72082025
72071411,72082081,Gm29179,72078424,72081981
72071411,72082081,Gm29179,72078478,72080061
72071411,72082081,Gm29179,72079884,72080498
72114660,72115355,Gm21880,72114660,72115355
72133792,72134106,Gm29180,72133792,72134106
35146091,35149331,Gm29386,35146091,35149331
35146091,35149331,Gm29386,35146511,35148877
35146091,35149331,Gm29386,35146511,35148877
72170260,72170955,Gm29181,72170260,72170955
35181234,35184581,Gm29384,35181234,35184581
35190684,35191379,Gm21896,35190684,35191379
35227068,35227682,Gm29280,35227068,35227682
35256599,35257294,Gm20799,35256599,35257294
35305688,35306383,Gm29279,35305688,35306383
72232132,72258387,Gm20843,72232132,72258387
72232132,72258387,Gm20843,72232330,72256967
72283195,72286433,Gm29182,72283195,72286433
72283195,72286433,Gm29182,72283648,72286013
35413791,35417030,Gm28260,35413791,35417030
35413791,35417030,Gm28260,35414211,35416577
35413791,35417030,Gm28260,35414211,35416577
35458410,35459105,Gm21795,35458410,35459105
72393863,72394516,Gm20844,72393863,72394516
35495302,35495916,Gm28261,35495302,35495916
35507028,35508611,Gm28264,35507028,35508611
35524827,35525504,Gm21872,35524827,35525504
35599518,35600213,Gm20798,35599518,35600213
35717131,35720360,Gm28463,35717131,35720360
35717131,35720360,Gm28463,35717551,35719907
35717131,35720360,Gm28463,35717551,35719907
72416001,72426543,Gm29178,72416001,72426543
72416001,72426543,Gm29178,72416443,72426543
72416001,72426543,Gm29178,72422261,72426455
72416001,72426543,Gm29178,72422261,72426459
72416001,72426543,Gm29178,72422263,72426461
72416001,72426543,Gm29178,72422289,72424522
72416001,72426543,Gm29178,72422289,72424524
72416001,72426543,Gm29178,72422887,72426443
72416001,72426543,Gm29178,72422942,72424524
72416001,72426543,Gm29178,72424347,72424961
35789757,35790452,Gm28584,35789757,35790452
72461052,72461747,Gm21757,72461052,72461747
35818478,35819500,Gm28585,35818478,35819500
72646481,72647176,Gm28968,72646481,72647176
72683478,72683792,Gm28495,72683478,72683792
72830907,72831599,Gm20846,72830907,72831599
72905796,72906473,Gm20847,72905796,72906473
72979301,72979978,Gm20848,72979301,72979978
73000430,73011083,Gm28969,73000430,73011083
73000430,73011083,Gm28969,73000518,73011083
73000430,73011083,Gm28969,73006797,73010995
73000430,73011083,Gm28969,73006799,73011001
73000430,73011083,Gm28969,73006822,73009059
73000430,73011083,Gm28969,73006822,73011026
73000430,73011083,Gm28969,73006825,73011026
73000430,73011083,Gm28969,73006825,73011027
73000430,73011083,Gm28969,73007423,73010983
73000430,73011083,Gm28969,73007478,73009059
73000430,73011083,Gm28969,73008882,73009496
73045713,73046408,Gm21766,73045713,73046408
73250481,73251173,Gm20800,73250481,73251173
73325104,73325781,Gm21683,73325104,73325781
35850673,35876871,Gm20896,35850673,35876871
35850673,35876871,Gm20896,35853438,35875442
35936307,35939545,Gm28470,35936307,35939545
35936307,35939545,Gm28470,35936727,35939092
35936307,35939545,Gm28470,35936727,35939092
35971070,35974415,Gm28469,35971070,35974415
35980527,35981222,Gm21898,35980527,35981222
36017393,36018007,Gm28468,36017393,36018007
73349187,73359911,Gm28677,73349187,73359911
73349187,73359911,Gm28677,73349273,73359911
73349187,73359911,Gm28677,73355608,73359823
73349187,73359911,Gm28677,73355610,73359829
73349187,73359911,Gm28677,73355633,73359854
73349187,73359911,Gm28677,73355636,73357870
73349187,73359911,Gm28677,73355636,73359854
73349187,73359911,Gm28677,73355636,73359855
73349187,73359911,Gm28677,73356232,73359832
73349187,73359911,Gm28677,73356234,73359811
73349187,73359911,Gm28677,73356289,73357870
73349187,73359911,Gm28677,73357693,73358307
36046936,36047628,Gm20898,36046936,36047628
73394553,73395248,Gm21855,73394553,73395248
36120848,36121543,Gm29333,36120848,36121543
73436584,73439822,Gm29255,73436584,73439822
73436584,73439822,Gm29255,73437036,73439402
73546804,73547499,Gm20902,73546804,73547499
36228508,36231745,Gm28332,36228508,36231745
36228508,36231745,Gm28332,36228928,36231292
36228508,36231745,Gm28332,36228928,36231292
73618131,73618826,Gm28678,73618131,73618826
36263746,36267089,Gm28333,36263746,36267089
36268499,36268813,Gm28334,36268499,36268813
36305080,36305775,Gm28335,36305080,36305775
73680584,73706755,Gm20903,73680584,73706755
36346482,36346928,Gm28336,36346482,36346928
73771842,73772537,Gm28272,73771842,73772537
36366108,36390780,Gm28337,36366108,36390780
73800413,73800724,Gm29256,73800413,73800724
73837428,73840664,Gm28259,73837428,73840664
73837428,73840664,Gm28259,73837880,73840240
36451056,36454295,Gm28338,36451056,36454295
36451056,36454295,Gm28338,36451480,36453842
36451056,36454295,Gm28338,36451480,36453842
73948074,73948768,Gm28273,73948074,73948768
36603548,36604243,Gm28812,36603548,36604243
36632325,36633347,Gm28811,36632325,36633347
74022734,74023427,Gm21715,74022734,74023427
36645064,36645510,Gm28810,36645064,36645510
36664443,36690635,Gm20835,36664443,36690635
36749455,36752690,Gm29027,36749455,36752690
36749455,36752690,Gm29027,36749875,36752238
36749455,36752690,Gm29027,36749875,36752238
36785886,36789232,Gm29028,36785886,36789232
74044101,74054733,Gm29617,74044101,74054733
74044101,74054733,Gm29617,74044136,74054733
74044101,74054733,Gm29617,74050011,74051200
74044101,74054733,Gm29617,74050433,74054638
74044101,74054733,Gm29617,74050433,74054647
74044101,74054733,Gm29617,74050433,74054677
74044101,74054733,Gm29617,74050435,74054651
74044101,74054733,Gm29617,74050458,74052696
74044101,74054733,Gm29617,74050458,74054676
74044101,74054733,Gm29617,74051059,74054633
74044101,74054733,Gm29617,74051114,74052696
74044101,74054733,Gm29617,74052521,74053130
36795121,36795816,Gm29029,36795121,36795816
74089372,74090068,Gm29615,74089372,74090068
36831137,36831751,Gm29030,36831137,36831751
74129821,74133059,Gm29616,74129821,74133059
74129821,74133059,Gm29616,74130275,74132639
36840242,36844291,Gm29023,36840242,36844291
36860659,36861354,Gm29024,36860659,36861354
74237114,74237807,Gm21784,74237114,74237807
36891289,36894627,Gm29025,36891289,36894627
74311469,74312164,Gm20805,74311469,74312164
36896033,36896347,Gm29026,36896033,36896347
74341229,74341843,Gm29618,74341229,74341843
37026432,37027046,Gm28213,37026432,37027046
74378056,74378751,Gm29109,74378056,74378751
37038156,37039696,Gm28212,37038156,37039696
74419644,74422882,Gm29108,74419644,74422882
74419644,74422882,Gm29108,74420096,74422462
37055954,37056649,Gm21799,37055954,37056649
37127875,37128570,Gm28227,37127875,37128570
74481800,74508227,Gm29110,74481800,74508227
74569029,74569724,Gm28781,74569029,74569724
37188765,37214948,Gm20905,37188765,37214948
37319397,37320092,Gm29411,37319397,37320092
74635165,74636247,Gm21913,74635165,74636247
74647091,74647949,Gm28174,74647091,74647949
37356291,37356905,Gm28222,37356291,37356905
74760409,74760516,5S_rRNA,74760409,74760516
37385825,37386520,Gm21835,37385825,37386520
74800220,74800915,Gm21076,74800220,74800915
37502673,37505910,Gm28820,37502673,37505910
37502673,37505910,Gm28820,37503093,37505457
74811466,74814396,Gm29416,74811466,74814396
74811466,74814396,Gm29416,74811622,74813972
37539682,37539996,Gm28223,37539682,37539996
74922124,74922231,5S_rRNA,74922124,74922231
37576237,37576932,Gm29412,37576237,37576932
74961912,74962607,Gm21869,74961912,74962607
75036649,75037353,Gm20813,75036649,75037353
37637165,37661980,Gm29413,37637165,37661980
75066333,75066947,Gm28790,75066333,75066947
37764182,37767528,Gm29671,37764182,37767528
37773407,37774102,Gm21878,37773407,37774102
75103168,75103863,Gm29272,75103168,75103863
37810308,37810922,Gm28162,37810308,37810922
75145003,75148242,Gm28789,75145003,75148242
75145003,75148242,Gm28789,75145456,75147822
37839981,37840676,Gm20922,37839981,37840676
37913156,37915490,Gm20738,37913156,37915490
75207125,75233327,Gm20814,75207125,75233327
75293574,75294269,Gm28787,75293574,75294269
75330518,75330892,Gm28788,75330518,75330892
38022387,38025625,Gm28545,38022387,38025625
38022387,38025625,Gm28545,38022807,38025172
38057568,38060910,Gm28547,38057568,38060910
75367611,75370847,Gm29278,75367611,75370847
75367611,75370847,Gm29278,75368063,75370427
38098866,38099480,Gm28546,38098866,38099480
75476964,75477641,Gm21922,75476964,75477641
38128360,38129055,Gm21924,38128360,38129055
75550972,75551667,Gm21111,75550972,75551667
38203093,38203788,Gm21735,38203093,38203788
75580166,75580780,Gm28608,75580166,75580780
75616961,75617299,Gm28607,75616961,75617299
38295430,38298668,Gm28771,38295430,38298668
38295430,38298668,Gm28771,38295851,38298215
38331844,38335184,Gm28772,38331844,38335184
75664495,75667734,Gm28606,75664495,75667734
75664495,75667734,Gm28606,75664948,75667314
38369983,38370678,Gm28773,38369983,38370678
75726591,75752818,Gm20850,75726591,75752818
38431406,38457583,Gm20897,38431406,38457583
75813201,75813896,Gm29574,75813201,75813896
38516408,38519645,Gm28774,38516408,38519645
38516408,38519645,Gm28774,38516828,38519192
75850183,75850497,Gm29575,75850183,75850497
38551562,38554905,Gm28775,38551562,38554905
75997997,75998692,Gm21875,75997997,75998692
76072225,76072920,Gm20904,76072225,76072920
38561027,38561722,Gm21765,38561027,38561722
38575128,38576129,Gapdh-ps15,38575128,38576129
76101831,76102508,Gm29576,76101831,76102508
76138763,76139455,Gm29577,76138763,76139455
38599181,38599795,Gm28776,38599181,38599795
38628676,38629368,Gm21787,38628676,38629368
76243914,76270115,Gm29573,76243914,76270115
38702993,38703685,Gm28770,38702993,38703685
76330429,76331148,Gm28377,76330429,76331148
38730279,38754706,Gm20901,38730279,38754706
76389931,76391013,Gm21776,76389931,76391013
76512044,76512736,Gm21155,76512044,76512736
38827980,38830343,Gm28176,38827980,38830343
38827980,38830343,Gm28176,38827980,38830343
38852738,38853263,Gm28786,38852738,38853263
76586987,76587679,Gm21163,76586987,76587679
76616719,76617333,Gm28122,76616719,76617333
38890449,38892728,Gm29360,38890449,38892728
38890449,38892728,Gm29360,38890449,38892728
76653539,76653877,Gm28121,76653539,76653877
39033735,39034427,Gm29496,39033735,39034427
39114193,39117425,Gm29497,39114193,39117425
39114193,39117425,Gm29497,39114613,39116972
76772869,76798998,Gm21173,76772869,76798998
39299890,39300375,Gm29499,39299890,39300375
76860450,76861145,Gm28123,76860450,76861145
76897545,76897859,Gm28120,76897545,76897859
76934608,76937847,Gm29313,76934608,76937847
76934608,76937847,Gm29313,76935061,76937426
39367166,39369445,Gm29498,39367166,39369445
39367166,39369445,Gm29498,39367166,39369445
77085302,77085997,Gm21180,77085302,77085997
39406588,39407085,Gm36782,39406588,39407085
77159999,77160691,Gm20859,77159999,77160691
39459472,39459969,Gm29839,39459472,39459969
77189641,77190255,Gm29314,77189641,77190255
39545114,39569544,Gm29495,39545114,39569544
77226496,77227191,Gm29310,77226496,77227191
39943632,39944326,Gm28371,39943632,39944326
77268515,77271301,Gm29311,77268515,77271301
77268515,77271301,Gm29311,77269186,77270877
40060001,40067892,Gm28595,40060001,40067892
77330268,77356520,Gm21638,77330268,77356520
40144240,40147214,Gm37032,40144240,40147214
77417625,77418320,Gm29312,77417625,77418320
77454469,77454783,Gm29308,77454469,77454783
77456192,77459535,Gm29309,77456192,77459535
77488086,77493212,Gm28702,77488086,77493212
77490182,77492406,Gm28701,77490182,77492406
77507468,77518394,Gm28700,77507468,77518394
40246135,40272248,Gm21865,40246135,40272248
40246135,40272248,Gm21865,40248883,40270796
77578588,77579283,Gm28699,77578588,77579283
40322851,40328096,Gm29433,40322851,40328096
77615500,77615814,Gm28705,77615500,77615814
40323062,40325420,Gm29215,40323062,40325420
40323062,40325420,Gm29215,40323062,40325420
77617224,77620570,Gm28704,77617224,77620570
40335786,40336868,Gm21882,40335786,40336868
40346267,40346794,Gm21801,40346267,40346794
40346267,40346794,Gm21801,40346291,40346788
77654946,77658183,Gm28540,77654946,77658183
77654946,77658183,Gm28540,77655399,77657763
40387263,40389627,Gm28850,40387263,40389627
40387263,40389627,Gm28850,40387263,40389627
40412088,40412615,Gm21914,40412088,40412615
40412088,40412615,Gm21914,40412112,40412609
77704077,77730307,Gm21650,77704077,77730307
77704077,77730307,Gm21650,77705501,77730111
40449833,40452112,Gm28617,40449833,40452112
40449833,40452112,Gm28617,40449833,40452112
77762372,77763394,Gm28541,77762372,77763394
40521517,40522083,Gm28618,40521517,40522083
40594038,40596403,Gm28619,40594038,40596403
40594038,40596403,Gm28619,40594038,40596403
77791417,77792112,Gm28542,77791417,77792112
77828310,77828624,Gm28537,77828310,77828624
77830030,77833373,Gm28538,77830030,77833373
40637391,40638086,Gm20793,40637391,40638086
40639526,40639635,,40639526,40639635
40644083,40644192,,40644083,40644192
77865363,77868601,Gm29569,77865363,77868601
77865363,77868601,Gm29569,77865816,77868181
77972142,77974473,Gm20867,77972142,77974473
77972142,77974473,Gm20867,77972276,77972959
40689087,40692321,Gm28993,40689087,40692321
40689087,40692321,Gm28993,40689508,40691868
78046288,78046983,Gm21658,78046288,78046983
40717850,40720213,Gm28994,40717850,40720213
40717850,40720213,Gm28994,40717850,40720213
78063273,78064814,Gm29568,78063273,78064814
40730568,40731110,Gm21797,40730568,40731110
78075953,78076567,Gm29567,78075953,78076567
78112774,78113469,Gm21198,78112774,78113469
78158357,78168774,Gm29566,78158357,78168774
78162121,78165360,Gm29565,78162121,78165360
78162121,78165360,Gm29565,78162574,78164940
78224262,78250458,Gm29564,78224262,78250458
78334835,78335149,Gm29147,78334835,78335149
78336563,78339904,Gm29146,78336563,78339904
78368078,78378548,Gm28664,78368078,78378548
78371897,78375134,Gm28663,78371897,78375134
78371897,78375134,Gm28663,78372350,78374714
40760259,40762701,Gm20795,40760259,40762701
40760259,40762701,Gm20795,40761876,40762574
78482527,78483222,Gm29149,78482527,78483222
40798902,40799597,Gm28596,40798902,40799597
78557175,78557510,Gm29148,78557175,78557510
40860618,40890934,Gm20832,40860618,40890934
78584670,78585125,Gm29145,78584670,78585125
78620665,78621003,Gm29144,78620665,78621003
41198968,41229778,Gm28597,41198968,41229778
78643795,78668759,Gm28817,78643795,78668759
